ces-contracts: 2 agreed · 1 disagreement · 39 intermittent · 0 no-runtime-emits · 0 unmeasurable  |  ISRE 2ok/38diff  OSRE 2ok/38diff → /Users/johnt/workspace/GitHub/RealityEngine_CI/config/ces-contracts/domain-ai-services.json
  disagreement: AICapacityThrottler.json::aict-capacity-escalation::aict-saturated — lsp-1+scala-1 | cpp-1 (held over 3 drives)
  intermittent: AICapacityThrottler.json::aict-capacity-escalation::aict-overloaded — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AICapacityThrottler.json::aict-memory-pressure::aict-mem-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AICoolingRegulator.json::aicr-flow-restriction::aicr-flow-restricted — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AICoolingRegulator.json::aicr-thermal-escalation::aicr-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AICoolingRegulator.json::aicr-thermal-escalation::aicr-hot — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AICoolingRegulator.json::aicr-thermal-escalation::aicr-optimal — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AICoolingRegulator.json::aicr-thermal-escalation::aicr-warm — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIHardwareResilience.json::aihr-hw-degradation::aihr-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIHardwareResilience.json::aihr-hw-degradation::aihr-degraded — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIHardwareResilience.json::aihr-hw-degradation::aihr-healthy — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIHardwareResilience.json::aihr-hw-degradation::aihr-warning — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIHardwareResilience.json::aihr-sudden-network-failure::aihr-net-fault — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIModelWellness.json::aimw-latency-breach::aimw-lat-breach — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIModelWellness.json::aimw-model-degradation::aimw-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIModelWellness.json::aimw-model-degradation::aimw-degraded — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIModelWellness.json::aimw-model-degradation::aimw-failed — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIModelWellness.json::aimw-model-degradation::aimw-healthy — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIPowerEfficiency.json::aipe-carbon-spike::aipe-carbon-dirty — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIPowerEfficiency.json::aipe-pue-escalation::aipe-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIPowerEfficiency.json::aipe-pue-escalation::aipe-efficient — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIPowerEfficiency.json::aipe-pue-escalation::aipe-elevated — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIPowerEfficiency.json::aipe-pue-escalation::aipe-high — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AISecurityMonitor.json::aism-rapid-privilege-escalation::aism-confirmed-escalation — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AISecurityMonitor.json::aism-threat-escalation::aism-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
